bounceRate,uniquePageviews,avgTimeOnPage,sale_class,year,asking_price,Month(date_added),weekday(date_added),dayOfMonth(date_added),daysOnWeb
100,65,193.061224489796,Used,2017,16748,1,3,3,0
76.3157894736842,66,196.90625,Used,2017,15995,5,3,10,92
16.6666666666667,64,251.236363636364,Used,2015,16995,12,2,5,26
93.75,69,105.853658536585,New,2017,127900,4,2,4,174
71.4285714285714,72,111.638888888889,New,2018,23343,9,4,28,79
46.6666666666667,57,179.34693877551,Used,2015,34995,6,2,27,42
36.3636363636364,52,217.109090909091,Used,2011,12995,12,3,27,15
61.5384615384615,63,196.190476190476,Used,2018,17995,10,2,3,88
55.5555555555556,60,201.45,New,2018,38598,10,3,11,41
100,65,157.127659574468,New,2018,39943,4,0,16,237
60,50,130.869565217391,Used,2015,25995,6,2,13,37
57.1428571428571,58,122.055555555556,Used,2010,13995,5,1,8,87
80,58,203.7,Used,2017,19995,6,3,7,81
28.5714285714286,59,197.224489795918,Used,2003,4995,9,2,12,49
50,55,140.235294117647,Used,2005,11995,7,1,3,14
80,64,128.022222222222,Used,2016,23995,7,4,13,43
80,54,149.3,Used,2015,29995,5,1,29,92
33.3333333333333,62,272.479166666667,Used,2017,27995,4,2,4,284
72.7272727272727,60,274.529411764706,Used,2016,28995,11,3,8,26
25,57,166.377358490566,Used,2016,24995,7,3,19,61
100,59,202.586956521739,Used,2017,15995,10,2,10,64
66.6666666666667,57,56.2093023255814,New,2018,44433,6,2,13,73
90.9090909090909,56,133.852941176471,New,2018,46987,4,2,4,233
37.5,59,152.3,Used,2014,15995,10,3,25,42
83.3333333333333,54,165.075,New,2018,21833,9,5,1,140
100,56,97.2380952380953,Used,2017,11995,5,3,10,111
80,51,143.414634146341,Used,2018,36995,5,1,1,154
75,57,137.340425531915,Used,2017,37900,4,2,4,216
83.3333333333333,54,308.083333333333,Used,2017,27995,8,3,9,84
100,56,143.514285714286,Used,2009,6995,10,1,23,22
36.3636363636364,51,238.121951219512,Used,2015,15995,9,4,14,48
87.5,50,211.323529411765,Used,2016,25995,11,1,27,26
64.7058823529412,46,149.678571428571,Used,2009,66995,4,2,4,98
40,47,147.684210526316,New,2017,34633,10,1,30,2
42.8571428571429,52,233.111111111111,Used,2016,43995,6,0,4,113
50,50,145.823529411765,Used,2018,40995,8,4,3,76
75,52,174.470588235294,Used,2017,42995,9,3,20,8
40,50,155.80487804878,Used,2018,46995,11,5,17,72
41.6666666666667,47,157.380952380952,Used,2011,14995,8,2,29,39
71.4285714285714,49,235.484848484848,Used,2016,27995,10,1,30,21
60,46,131.805555555556,Used,2016,20995,4,2,4,127
61.5384615384615,41,328.185185185185,Used,2015,29995,8,1,21,8
100,50,166.371428571429,Used,2015,25995,5,1,29,72
100,49,113.567567567568,New,2018,42925,5,1,29,173
50,43,85.3428571428571,Used,2015,24995,6,0,4,68
33.3333333333333,44,156.666666666667,Used,2016,22995,1,1,29,9
50,48,197.757575757576,Used,2018,37995,11,5,17,45
81.8181818181818,44,175.322580645161,Used,2009,8995,9,1,25,29
50,47,215.758620689655,Used,2017,36995,4,2,4,153
75,45,142.964285714286,Used,2017,17995,4,2,4,134
75,46,323.818181818182,Used,2015,16995,12,2,5,30
33.3333333333333,36,116.53488372093,Used,2009,10995,6,0,4,49
60,44,107.212121212121,New,2018,39878,6,5,23,101
100,47,218.25641025641,Used,2017,19995,10,2,3,64
40,40,232.682926829268,Used,2014,14995,6,4,22,42
100,40,139.782608695652,Used,2016,25995,6,1,19,45
75,42,140.789473684211,Used,2015,23995,1,2,16,15
50,41,86.4358974358974,Used,2010,14990,5,1,15,80
78.5714285714286,44,69.6551724137931,Used,2014,25995,8,3,23,20
100,44,102.185185185185,New,2018,39943,5,3,10,217
66.6666666666667,44,182.791666666667,Used,2013,10995,4,2,4,121
66.6666666666667,42,178.263157894737,Used,2014,21995,4,2,4,132
80,40,222.647058823529,Used,2018,26995,9,1,18,40
90,42,166.652173913043,Used,2011,29995,7,5,7,27
100,41,145.074074074074,New,2018,30470,4,2,18,263
88.8888888888889,41,111.5,Used,2014,21995,10,2,10,21
50,40,99.1111111111111,Used,2017,34995,11,1,6,25
25,41,161.285714285714,New,2018,35028,5,3,10,212
86.6666666666667,35,263.411764705882,Used,2015,29995,9,4,7,39
66.6666666666667,37,80.12,Used,2010,11995,12,3,6,6
55.5555555555556,36,219.08,Used,2017,32995,6,1,19,120
20,37,199.242424242424,Used,2013,13995,12,4,14,20
62.5,38,107.884615384615,Used,2007,7995,8,2,15,30
60,35,161.296296296296,Used,2017,37900,5,1,29,142
72.7272727272727,38,107.416666666667,Used,2013,21995,9,4,21,35
71.4285714285714,37,236.225806451613,Used,2015,16995,1,5,5,3
60,32,359.736842105263,Used,2012,10995,4,2,4,101
100,37,162.444444444444,New,2018,23493,12,5,29,34
100,37,200.208333333333,Used,2010,14995,1,1,22,14
0,36,177.666666666667,Used,2016,13995,11,2,7,21
20,27,137.387096774194,Used,2018,38995,4,2,4,126
50,31,127.903225806452,Used,2014,10995,4,2,4,121
0,35,149.266666666667,Used,2017,19995,1,2,16,22
33.3333333333333,33,162.08,Used,2014,14995,1,3,3,10
100,36,283.935483870968,Used,2016,27995,12,6,30,23
33.3333333333333,33,133,New,2019,43298,11,4,23,61
80,36,152.714285714286,Used,2017,31995,4,2,4,121
0,31,117,New,2018,34778,7,6,22,132
73.3333333333333,32,130.470588235294,Used,2016,32995,6,0,4,43
50,31,199.916666666667,Used,2013,11995,12,4,21,13
100,31,63.1739130434783,New,2018,26948,4,2,4,251
0,31,244.037037037037,Used,2015,29995,11,3,1,21
66.6666666666667,31,190.6,Used,2016,27995,11,1,27,17
71.4285714285714,26,207.142857142857,Used,2017,16995,9,3,27,26
50,33,145.368421052632,Used,2017,39995,8,2,15,77
33.3333333333333,34,106.481481481481,Used,2010,13995,8,5,18,33
0,34,62.1851851851852,New,2018,66743,6,0,4,235
100,32,80.8947368421053,New,2019,45298,10,1,16,82
50,31,330,Used,2010,17995,11,3,1,26
50,31,303.136363636364,Used,2018,43995,10,1,23,42
83.3333333333333,28,171.176470588235,New,2018,25078,6,2,27,25
33.3333333333333,29,111.565217391304,New,2017,16748,4,2,4,219
0,29,272.227272727273,Used,2018,27995,8,5,11,163
100,29,286.545454545455,Used,2013,17995,8,1,28,12
0,28,97.8965517241379,Used,2017,15995,6,0,4,86
80,22,306.826086956522,Used,2016,29995,8,3,30,13
100,25,138.571428571429,Used,2016,42995,6,0,4,60
